Time,Swap,Compare
0.043595899999957055,11375,55170
0.043503199999975095,11266,55528
0.04578509999998914,11130,60498
0.04508400000003121,11274,57525
0.044924899999955414,11217,59989
0.04529230000002826,11386,58817
0.0449345999999764,11312,58957
0.04422460000000683,11369,56036
0.04529539999998633,11173,61253
0.04594269999995504,11274,59276
0.04489399999999932,11385,54788
0.04588530000000901,11219,59080
0.04543460000002142,11094,61805
0.045104799999990064,11194,59643
0.043520399999977144,11457,54531
0.04708019999998214,11163,65746
0.044852800000001025,11255,59778
0.04497750000001588,11212,58738
0.04348909999998796,11324,55432
0.04449870000001965,11239,57844
0.043897899999990386,11239,56578
0.045389300000010735,11294,59431
0.04405900000000429,11292,56875
0.046111400000029334,11414,58621
0.045734299999992345,11157,61904
0.0449837999999545,11288,57186
0.043865699999969365,11285,56751
0.04369600000001128,11322,55078
0.04507139999998344,11178,60120
0.04706799999996747,11218,60510
0.04609820000001719,11335,57042
0.04388490000002321,11335,55916
0.045068399999991016,11200,60264
0.04549820000005411,11133,59972
0.04472320000002128,11232,58727
0.04510320000002821,11357,58510
0.044742900000017016,11177,59311
0.04500430000001643,11256,58735
0.04407509999998638,11345,56900
0.04538660000002892,11260,59465
0.04488549999996394,11296,58639
0.04539129999994884,11162,61803
0.04542570000000978,11168,61329
0.04457320000000209,11179,59550
0.04523460000001478,11157,59366
0.04510080000000016,11120,59701
0.04487669999997479,11327,59435
0.04496930000004795,11265,60382
0.043238999999971384,11334,55249
0.045484799999996994,11082,62175
0.045610800000019935,11252,57806
0.04512259999995649,11157,59143
0.04313480000001846,11492,54365
0.04312390000001187,11488,53989
0.046190500000022894,11129,62980
0.044144299999970826,11385,55550
0.044553000000007614,11281,58306
0.04479470000001129,11265,59255
0.046220599999969636,11092,62834
0.04447690000000648,11346,58222
0.0434943000000203,11355,55910
0.04479509999998754,11197,58793
0.04414259999998649,11457,56006
0.044946299999992334,11399,58639
0.04457969999998568,11243,58620
0.04367479999996249,11451,54872
0.04564909999999145,11225,56708
0.045050000000003365,11201,59824
0.04629639999996016,11288,62210
0.044516600000008566,11258,58369
0.045378599999992275,11240,59872
0.04452170000001843,11208,58392
0.043792999999993754,11287,56942
0.04514699999998584,11252,59543
0.04418870000000652,11242,57403
0.04446089999999003,11223,58089
0.04348260000000437,11437,54979
0.04446070000000191,11158,58905
0.04562479999998459,11095,62018
0.045210199999985434,11269,60155
0.049666500000000724,10916,73939
0.045195200000023306,11254,58505
0.048360900000034235,10999,68762
0.04448930000000928,11205,56114
0.04547059999998737,11236,60794
0.04586970000002566,11360,60666
0.044871999999998025,11186,59174
0.04520869999998922,11102,60612
0.04401550000000043,11460,55819
0.04356689999997343,11388,55065
0.043267200000002504,11295,55245
0.04478860000000395,11479,54565
0.045330200000023524,11115,60602
0.045232499999997344,11355,60119
0.04443220000001702,11234,58499
0.04374880000000303,11353,55840
0.0454024000000004,11175,60086
0.04484050000002071,11183,58819
0.0468106000000148,11162,63724
0.04532299999999623,11283,57678
0.04669089999998732,11039,65376
0.04567079999998214,11169,59753
0.047598400000026686,10923,67305
0.045353400000010424,11357,57511
0.04459940000003826,11252,59101
0.04391559999999117,11355,56672
0.04480919999997468,11169,59981
0.04522019999996019,11290,55276
0.04418390000000727,11251,58078
0.04648709999997891,11195,61986
0.044624800000008236,11321,58335
0.04591500000003634,11197,58523
0.04450789999998506,11258,57833
0.044582699999978104,11210,59303
0.04362000000003263,11289,56376
0.0459585000000402,11284,59029
0.04882769999994707,11007,71443
0.0449797999999646,11127,59848
0.044171300000016345,11243,57563
0.047492799999986346,11143,59986
0.04385840000003327,11398,55363
0.04621559999998226,11202,61938
0.04438729999998259,11243,57744
0.04558880000001864,11027,61357
0.046027299999991556,10991,62523
0.04429800000002615,11338,57324
0.044198499999993146,11323,55834
0.04423080000003665,11241,57441
0.04436169999996764,11261,57993
0.04320069999999987,11395,54987
0.04382739999999785,11218,57294
0.04817100000002483,11155,67034
0.044397099999969214,11289,58624
0.04509080000002541,11286,60079
0.044575300000019524,11231,58434
0.043146900000010646,11334,55118
0.04389520000000857,11387,56194
0.04565980000000991,11297,60833
0.045298600000023725,11186,60639
0.043948699999987184,11327,56601
0.04423089999994545,11328,58067
0.04588390000003528,11164,62529
0.04396649999995361,11301,55731
0.04512760000000071,11144,60219
0.04506870000000163,11320,57929
0.045090399999992314,11048,59979
0.04462930000005372,11283,58482
0.04459729999996398,11286,57704
0.044549699999947734,11276,57879
0.045629200000007586,11138,61064
0.04447090000002163,11286,58194
0.04478399999999283,11189,59253
0.04385280000002467,11314,56278
0.044381299999997736,11291,58211
0.04512189999996963,11189,59812
0.04478710000000774,11358,58647
0.046311800000012227,11196,63538
0.04321199999998271,11447,54686
0.04432209999998804,11224,57357
0.04536529999995764,11243,58531
0.04462040000004208,11236,58522
0.04664010000004737,11184,60571
0.04525429999995367,11186,59723
0.0435603000000242,11312,55457
0.04548260000001392,11246,60748
0.04363890000001902,11364,55889
0.044556900000031874,11200,58249
0.04535449999997354,11206,60181
0.045764200000007804,11048,62609
0.044103599999971266,11335,56037
0.04581419999999525,11265,57446
0.04493039999999837,11246,60094
0.04725350000001072,11109,62811
0.04488689999999451,11212,59702
0.04527490000009493,11333,56393
0.04464870000003884,11280,58357
0.04400240000006761,11268,56754
0.045180800000025556,11153,60140
0.04685830000005353,11148,64874
0.04600549999997838,10951,63382
0.04444720000003599,11249,57547
0.04419319999999516,11326,57670
0.045105600000056256,11025,60612
0.044778400000041074,11144,59266
0.04516820000003463,11188,60534
0.04460169999993013,11354,58583
0.045928699999990386,11115,62541
0.043539300000020376,11421,54465
0.04578079999998863,10960,63086
0.04352189999997336,11258,55742
0.0443643000000975,11245,58055
0.04655490000004647,11224,60840
0.044180900000014844,11255,57744
0.049598400000036236,11213,64299
0.04566090000002987,11248,61451
0.045101199999976416,11230,60005
0.04570119999993949,11199,58372
0.04531179999992219,11355,56290
0.04405369999994946,11370,56961
0.04633309999996982,11302,62698
0.045785399999999754,11084,62306
0.04579270000010638,11204,61406
0.0440141000000267,11221,56813
0.04384149999998499,11386,56173
0.04386209999995572,11376,56043
0.04653250000001208,10984,64302
0.04413690000001225,11224,56935
0.044799199999943085,11302,55797
0.04301749999990534,11369,54644
0.04381490000002941,11403,56263
0.044721999999978834,11200,58561
0.04587579999997615,11229,61374
0.045097199999986515,11234,59974
0.04528960000004645,11336,57904
0.044140500000025895,11176,58264
0.04652269999996861,11261,59442
0.04499390000000858,11169,60000
0.04469130000006771,11199,59205
0.044162200000073426,11261,58079
0.043773200000032375,11400,56034
0.04552869999997711,11145,61238
0.04463929999997163,11155,59093
0.045947399999931804,11105,60453
0.04590089999999236,11003,63080
0.0438813000000664,11233,57406
0.043879500000002736,11340,56724
0.043268600000033075,11319,55805
0.0453504999999268,11163,61026
0.04466899999999896,11338,56438
0.04406219999998484,11345,56707
0.044080199999939396,11400,56414
0.045619200000032833,11175,61360
0.04592149999996309,11196,62581
0.0449401000000762,11169,57405
0.04401000000007116,11152,58630
